startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
C691,C652,00:00:50,3,-1,1,MY7560,91
T343,T316,00:01:10,3,-1,1,MY9362,84
T345/1,T322,00:01:44,3,-1,-1,MY9282,84
C652,C655,00:01:51,3,-1,1,MY7560,47
M177,M198,00:02:18,3,-1,1,MW3528,115
T316,T345/5,00:02:35,3,-1,-1,MY9362,74
C655,C657,00:03:12,3,-1,-1,MY7560,47
T322,T342,00:03:22,3,-1,-1,MY9282,91
T345/5,T344,00:03:36,3,-1,1,MY9362,43
M198,M183/2,00:03:39,3,-1,1,MW3528,64
C657,C686,00:03:49,3,-1,-1,MY7560,27
T344,T356/1,00:04:19,3,-1,1,MY9362,37
T342,T409,00:04:23,3,-1,1,MY9282,50
M183/2,M140/1,00:04:36,3,-1,1,MW3528,16
C686,C656,00:04:57,3,-1,1,MY7560,30
T409,T368,00:05:27,3,-1,1,MY9282,50
T356/1,T358,00:05:34,3,-1,1,MY9362,67
C656,C654/3,00:06:01,3,-1,1,MY7560,54
M140/1,M137/2,00:06:04,3,-1,1,MW3528,30
T358,T373/2,00:06:18,3,-1,1,MY9362,27
T368,T324/2,00:06:28,3,-1,1,MY9282,30
T373/2,T375,00:06:52,3,-1,2,MY9362,20
M137/2,M132/1,00:07:09,3,-1,1,MW3528,27
C654/3,C653/2,00:07:19,3,-1,2,MY7560,40
T324/2,T327,00:07:46,3,-1,1,MY9282,57
T375,T380,00:07:56,3,-1,2,MY9362,37
M132/1,M200,00:08:09,3,-1,2,MW3528,23
T380,T379,00:08:16,3,-1,2,MY9362,13
T379,T359,00:08:43,3,-1,1,MY9362,20
T327,T326/2,00:08:47,3,-1,1,MY9282,27
M200,M201,00:08:50,3,-1,-1,MW3528,17
C653/2,C692,00:09:04,3,-1,1,MY7560,64
T359,T355/1,00:09:41,3,-1,1,MY9362,47
C692,C689/1,00:09:48,3,-1,1,MY7560,36
T326/2,T337,00:09:48,3,-1,1,MY9282,50
M201,M121,00:09:48,3,-1,2,MW3528,23
T337,T334,00:10:15,3,-1,1,MY9282,20
M121,M119,00:10:49,3,-1,1,MW3528,30
T334,T430,00:11:22,3,-1,1,MY9282,50
C689/1,T355/2,00:11:56,3,-1,1,MY7560,118
M119,M113,00:12:30,3,-1,-1,MW3528,67
M113,M94,00:13:20,3,-1,-1,MW3528,23
T355/1,C688/1,00:13:27,3,-1,1,MY9362,202
T355/2,T360,00:14:04,3,-1,1,MY7560,121
T360,T376/1,00:14:35,3,-1,2,MY7560,23
C688/1,C691,00:15:06,3,-1,-1,MY9362,58
