startStation,endStation,time,weekday,passengerFlow,trafficCondition,busPlate,arrivalDuration
T336/2,T335/2,05:30:45,3,-1,1,AB5425,20
T335/2,T338,05:31:07,3,-1,1,AB5425,18
T338,T326/3,05:32:01,3,-1,-1,AB5425,50
T326/3,T332/2,05:32:46,3,-1,1,AB5425,33
T332/2,T325/2,05:34:13,3,-1,-1,AB5425,50
T325/2,T339/4,05:34:40,3,-1,1,AB5425,20
T339/4,T313,05:35:44,3,-1,1,AB5425,60
T313,T315,05:36:16,3,-1,1,AB5425,20
T315,T375,05:37:18,3,-1,1,AB5425,57
T375,T380,05:37:51,3,-1,1,AB5425,20
T380,T379,05:38:08,3,-1,1,AB5425,10
T379,T359,05:39:05,3,-1,1,AB5425,26
T359,T355/1,05:40:12,3,-1,3,AB5425,57
C688/1,C691,05:45:39,3,-1,1,AB5425,37
C691,C652,05:47:37,3,-1,1,AB5425,94
C652,C655,05:48:17,3,-1,-1,AB5425,30
C655,C657,05:49:08,3,-1,-1,AB5425,43
C657,C660,05:50:05,3,-1,-1,AB5425,44
C660,C662,05:50:53,3,-1,-1,AB5425,20
C662,C664,05:51:33,3,-1,-1,AB5425,30
C664,C666,05:52:03,3,-1,-1,AB5425,23
C666,C677,05:52:25,3,-1,-1,AB5425,18
C677,C667,05:53:03,3,-1,-1,AB5425,27
C667,C676,05:53:28,3,-1,-1,AB5425,13
C676,C680,05:54:44,3,-1,-1,AB5425,69
C680,C669/1,05:55:40,3,-1,-1,AB5425,27
C669/1,C693,05:57:11,3,-1,-1,AB5425,64
C693,C681,05:59:50,3,-1,-1,AB5425,138
C681,C671,06:00:54,3,-1,-1,AB5425,54
T336/2,T335/2,06:01:01,3,-1,1,AB5900,23
T335/2,T338,06:01:48,3,-1,1,AB5900,16
C671,C695,06:02:36,3,-1,-1,AB5425,91
T338,T326/3,06:03:13,3,-1,-1,AB5900,57
T326/3,T332/2,06:04:14,3,-1,1,AB5900,50
C695,C673,06:04:55,3,-1,-1,AB5425,105
T332/2,T325/2,06:05:43,3,-1,-1,AB5900,61
C673,C672,06:05:49,3,-1,-1,AB5425,30
T325/2,T339/4,06:06:30,3,-1,1,AB5900,10
T339/4,T313,06:07:48,3,-1,1,AB5900,57
T313,T315,06:08:45,3,-1,1,AB5900,13
C672,C670,06:08:53,3,-1,-1,AB5425,142
C670,C679,06:09:43,3,-1,-1,AB5425,36
T315,T375,06:09:56,3,-1,1,AB5900,57
T375,T380,06:10:33,3,-1,-1,AB5900,23
T380,T379,06:11:17,3,-1,1,AB5900,16
C679,C694,06:11:38,3,-1,-1,AB5425,101
T379,T359,06:12:06,3,-1,1,AB5900,21
C694,C669/2,06:12:47,3,-1,-1,AB5425,48
T359,T355/1,06:13:31,3,-1,1,AB5900,57
C669/2,C687,06:13:31,3,-1,-1,AB5425,23
C687,C675,06:14:38,3,-1,1,AB5425,57
C675,C668,06:15:13,3,-1,-1,AB5425,26
C668,C678,06:15:33,3,-1,-1,AB5425,13
C678,C665,06:16:10,3,-1,-1,AB5425,23
C678,C665,06:16:17,3,-1,-1,AB5425,3
C665,C663,06:16:38,3,-1,-1,AB5425,17
C663,C661,06:17:22,3,-1,-1,AB5425,33
C661,C659,06:18:18,3,-1,-1,AB5425,30
C659,C656,06:19:12,3,-1,1,AB5425,43
C688/1,C691,06:19:22,3,-1,1,AB5900,57
C656,C654/2,06:20:20,3,-1,1,AB5425,55
C691,C652,06:21:38,3,-1,-1,AB5900,80
C654/2,C653/2,06:21:41,3,-1,2,AB5425,40
